csv file,Name,start of range,end of range/most recent time,Average cpms,overall most recent,one month back,error_flag
ahs_os_month.csv,Alameda HS Outside,2018-01-31 07:55:47+09:00,2018-01-31 07:55:47+09:00,3.3230769999999996,2019-09-08 22:41:32,2019-08-09 10:41:32
alameda_hs_month.csv,Alameda High School,2019-08-09 09:55:48-07:00,2019-09-08 05:51:31-07:00,2.1265669999999997,,
asakahighschool_month.csv,Asaka High School,2019-08-09 07:11:57-07:00,2019-09-08 02:57:06-07:00,3.318651,,
asaka_os_month.csv,Asaka High School Outside,2019-08-09 16:35:19+02:00,2019-09-08 12:40:28+02:00,5.177851,,
frankfurt_month.csv,Bergen-Enkheim,2019-03-16 01:50:49-07:00,2019-04-14 21:50:42-07:00,3.6661589999999995,,
campolindo_month.csv,Campolindo High School,2019-08-09 09:31:33-07:00,2019-09-08 05:26:43-07:00,1.541975,,
cnut_month.csv,Chernihiv University,2017-05-28 02:55:31-07:00,2017-06-26 22:50:13-07:00,3.782513,,
ebia_month.csv,East Bay Innovation Academy,2019-08-07 18:10:38+09:00,2019-09-02 05:05:16+09:00,1.682627,,
etch_month.csv,Etcheverry Hall,2018-03-25 09:10:16-07:00,2018-04-24 05:05:14-07:00,2.4151380000000002,,
etch_roof_month.csv,Etcheverry Roof,2019-08-09 08:21:59-07:00,2019-09-08 04:26:43-07:00,2.640714,,
exploratorium_month.csv,Exploratorium,2019-08-09 10:15:12-07:00,2019-09-08 06:20:22-07:00,1.713734,,
foothills_month.csv,Foothill College,2019-08-09 07:35:15-07:00,2019-09-08 03:45:27-07:00,1.7264490000000001,,
futabafutureschool_month.csv,Futaba Future School,2019-03-27 11:51:50+01:00,2019-04-15 06:50:21+02:00,3.068889,,
ghs_month.csv,Gilroy High School,2019-08-09 10:40:46-07:00,2019-09-08 06:35:55-07:00,1.5861100000000001,,
harbor_bay_month.csv,Harbor Bay,2019-08-09 18:00:18+03:00,2019-09-08 13:55:34+03:00,1.553952,,
hb_os_month.csv,Harbor Bay Outside,2018-05-11 16:45:28-07:00,2018-05-29 12:00:36-07:00,1.63209,,
JAEA_ms_month.csv,JAEA Minamisoma,2018-03-08 13:20:53+09:00,2018-03-09 13:12:46+09:00,2.5633169999999996,,
kaist_month.csv,KAIST,2018-05-20 16:00:11-07:00,2018-06-19 10:45:11-07:00,4.40316,,
kisr-1_month.csv,KISR-1,2018-12-11 01:10:28-08:00,2019-01-09 01:00:38-08:00,1.967798,,
KTH_month.csv,KTH Stockholm,2017-05-22 12:40:10-07:00,2017-06-21 08:35:11-07:00,5.756957,,
koriyama_ch_month.csv,Koriyama City Hall,2019-08-20 01:56:13+09:00,2019-09-08 21:51:21+09:00,2.746092,,
koriyama_ch_multi_month.csv,Koriyama City Hall OS,2019-03-02 12:15:27-08:00,2019-04-01 01:16:27-07:00,3.266667,,
lbl_month.csv,LBL,2017-05-21 09:11:36-07:00,2017-06-20 07:06:06-07:00,2.6548,,
lbl_outside_month.csv,LBL Outside,2018-05-11 15:35:02-07:00,2018-05-11 15:35:02-07:00,2.60029,,
life_academy_month.csv,Life Academy,2017-06-05 14:44:28-07:00,2017-06-05 14:44:28-07:00,1.525045,,
miramonte_os_month.csv,Miramonte HS Outside,2019-03-29 09:10:50+09:00,2019-04-28 05:10:19+09:00,3.363167,,
miramonte_month.csv,Miramonte High School,2019-09-01 22:50:37+02:00,2019-09-08 14:35:24+02:00,1.5811469999999999,,
msjhs_os_month.csv,Mission San Jose HS Outside,2019-08-09 16:45:19+02:00,2019-09-08 12:45:28+02:00,1.8,,
msjhs_month.csv,Mission San Jose High School,2019-08-23 11:05:34+02:00,2019-09-08 13:15:29+02:00,2.320696,,
norrareal_month.csv,Norra Real Gymnasium,2018-06-12 16:40:16-07:00,2018-07-12 12:40:29-07:00,7.394353,,
pinewood_os_month.csv,Pinewood OS,2019-08-10 02:36:33+09:00,2019-09-08 22:41:32+09:00,2.14248,,
pinewood_month.csv,Pinewood School,2017-05-04 15:09:52+03:00,2017-05-10 05:17:42+03:00,1.563878,,
sabacka_month.csv,Sabacka Gimnazija,2019-08-09 07:40:15-07:00,2019-09-08 03:40:44-07:00,3.5343400000000003,,
sakata_month.csv,Sakata Site,2019-08-09 23:40:18+09:00,2019-09-08 19:40:22+09:00,3.1623330000000003,,
ntuu_kpi_month.csv,Slavutich branch of NTUU KPI,2017-11-02 09:23:09+09:00,2017-11-08 22:11:03+09:00,3.6903330000000003,,
uw_month.csv,University of Washington,2019-08-09 10:15:14-07:00,2019-09-08 06:15:12-07:00,4.144678,,
kisr-1_month.csv,KISR-1,2018-02-18 10:33:20+03:00,2018-03-20 08:03:32+03:00,1.9677979622004014,,
