file_name,Location,Region,cpm,cpm error,msv,msv error,Start,Stop
asakahighschool,Asaka High School,Asia,3.318651,0.276656,0.119471,0.00996,2017-11-02 00:23:09 UTC,2017-11-08 13:11:03 UTC
campolindo,Campolindo High School,America,1.542992,0.006827,0.055548,0.000246,2019-05-20 18:15:12 UTC,2019-06-19 14:10:13 UTC
etch_roof,Etcheverry Roof,America,2.650714,0.012857,0.095426,0.000463,2019-03-16 08:55:41 UTC,2019-04-15 04:50:42 UTC
exploratorium,Exploratorium,America,1.802921,0.052696,0.064905,0.001897,2019-05-20 18:01:34 UTC,2019-06-19 14:01:26 UTC
futabafutureschool,Futaba Future School,Asia,3.068889,0.260493,0.11048,0.009378,2018-03-08 04:20:53 UTC,2018-03-09 04:12:46 UTC
harbor_bay,Harbor Bay,America,1.570201,0.00798,0.056527,0.000287,2019-05-20 18:01:16 UTC,2019-06-19 13:56:57 UTC
kisr-1,KISR-1,Asia,1.967798,0.010915,0.070841,0.000393,2018-02-18 07:33:20 UTC,2018-03-20 05:03:32 UTC
KTH,KTH Stockholm,Europe,5.756957,0.036792,0.20725,0.001324,2019-03-27 10:51:50 UTC,2019-04-15 04:50:21 UTC
lbl,LBL,America,2.6548,0.035899,0.095573,0.001292,2018-12-11 09:10:28 UTC,2019-01-09 09:00:38 UTC
life_academy,Life Academy,America,1.525045,0.006841,0.054902,0.000246,2018-06-12 23:40:16 UTC,2018-07-12 19:40:29 UTC
norrareal,Norra Real Gymnasium,Europe,7.396423,0.016314,0.266271,0.000587,2019-05-20 18:00:17 UTC,2019-06-19 13:55:18 UTC
ntuu_kpi,Slavutich branch of NTUU KPI,Europe,3.97836,0.010714,0.143221,0.000386,2019-05-20 18:00:19 UTC,2019-06-19 14:00:16 UTC
